pot_id,plant_num,plant_species,above_biomass_g,below_biomass_g,date,notes,,,,,,,,,,,,,,,,,,,
001_X_CnCn_AUS,1,Chamaecrista nictitans,0.581,0.206,8/18/2020,,,,,,,,,,,,,,,,,,,,
001_X_CnCn_AUS,2,Chamaecrista nictitans,1.171,0.438,8/18/2020,,,,,,,,,,,,,,,,,,,,
002_X_CnCn_AUS,1,Chamaecrista nictitans,1.6,0.778,8/18/2020,,,,,,,,,,,,,,,,,,,,
002_X_CnCn_AUS,2,Chamaecrista nictitans,0.397,0.139,8/18/2020,,,,,,,,,,,,,,,,,,,,
003_X_CnCn_AUS,1,Chamaecrista nictitans,0.038,0.022,8/15/2020,,,,,,,,,,,,,,,,,,,,
003_X_CnCn_AUS,2,Chamaecrista nictitans,1.372,0.635,8/15/2020,,,,,,,,,,,,,,,,,,,,
004_X_CnCn_AUS,1,Chamaecrista nictitans,0.713,0.232,8/18/2020,,,,,,,,,,,,,,,,,,,,
004_X_CnCn_AUS,2,Chamaecrista nictitans,0.251,0.139,8/18/2020,,,,,,,,,,,,,,,,,,,,
005_X_CnCn_AUS,1,Chamaecrista nictitans,0.484,0.534,8/18/2020,,,,,,,,,,,,,,,,,,,,
005_X_CnCn_AUS,2,Chamaecrista nictitans,1.008,0.629,8/18/2020,,,,,,,,,,,,,,,,,,,,
006_X_EpEp_AUS,1,Eutrochium fistulosum,,,,,,,,,,,,,,,,,,,,,,,
006_X_EpEp_AUS,2,Eutrochium fistulosum,0.108,0.139,8/18/2020,,,,,,,,,,,,,,,,,,,,
007_X_EpEp_AUS,1,Eutrochium fistulosum,0.15,0.193,8/18/2020,,,,,,,,,,,,,,,,,,,,
007_X_EpEp_AUS,2,Eutrochium fistulosum,,,,,,,,,,,,,,,,,,,,,,,
008_X_EpEp_AUS,1,Eutrochium fistulosum,0.064,0.185,8/16/2020,,,,,,,,,,,,,,,,,,,,
008_X_EpEp_AUS,2,Eutrochium fistulosum,0.043,0.069,8/16/2020,,,,,,,,,,,,,,,,,,,,
009_X_EpEp_AUS,1,Eutrochium fistulosum,1.382,2.115,8/18/2020,below bag is dated 8/19/2020,,,,,,,,,,,,,,,,,,,
009_X_EpEp_AUS,2,Eutrochium fistulosum,0.852,0.831,08/19/2020,,,,,,,,,,,,,,,,,,,,
010_X_EpEp_AUS,1,Eutrochium fistulosum,0.457,0.355,8/20/2020,,,,,,,,,,,,,,,,,,,,
010_X_EpEp_AUS,2,Eutrochium fistulosum,0.346,0.583,8/19/2020,,,,,,,,,,,,,,,,,,,,
011_X_EvEv_AUS,1,Elymus virginicus,0.139,0.428,8/18/2020,,,,,,,,,,,,,,,,,,,,
011_X_EvEv_AUS,2,Elymus virginicus,0.079,0.285,8/19/2020,,,,,,,,,,,,,,,,,,,,
012_X_EvEv_AUS,1,Elymus virginicus,0.097,0.603,8/18/2020,,,,,,,,,,,,,,,,,,,,
012_X_EvEv_AUS,2,Elymus virginicus,0.053,0.655,8/18/2020,,,,,,,,,,,,,,,,,,,,
013_X_EvEv_AUS,1,Elymus virginicus,0.13,0.232,8/15/2020,,,,,,,,,,,,,,,,,,,,
013_X_EvEv_AUS,2,Elymus virginicus,0.141,0.256,8/15/2020,,,,,,,,,,,,,,,,,,,,
014_X_EvEv_AUS,1,Elymus virginicus,0.014,0.206,8/18/2020,,,,,,,,,,,,,,,,,,,,
014_X_EvEv_AUS,2,Elymus virginicus,0.068,0.399,8/19/2020,,,,,,,,,,,,,,,,,,,,
015_X_EvEv_AUS,1,Elymus virginicus,0.315,0.389,8/17/2020,,,,,,,,,,,,,,,,,,,,
015_X_EvEv_AUS,2,Elymus virginicus,0.077,0.306,8/17/2020,,,,,,,,,,,,,,,,,,,,
016_X_CnEp_AUS,1,Chamaecrista nictitans,1.14,0.696,8/17/2020,,,,,,,,,,,,,,,,,,,,
016_X_CnEp_AUS,2,Eutrochium fistulosum,1.509,1.278,8/17/2020,,,,,,,,,,,,,,,,,,,,
017_X_CnEp_AUS,1,Chamaecrista nictitans,0.171,0.185,8/19/2020,,,,,,,,,,,,,,,,,,,,
017_X_CnEp_AUS,2,Eutrochium fistulosum,0.117,0.037,8/19/2020,,,,,,,,,,,,,,,,,,,,
018_X_CnEp_AUS,1,Chamaecrista nictitans,0.192,0.076,8/15/2020,,,,,,,,,,,,,,,,,,,,
018_X_CnEp_AUS,2,Eutrochium fistulosum,0.127,0.053,8/15/2020,,,,,,,,,,,,,,,,,,,,
019_X_CnEp_AUS,1,Chamaecrista nictitans,0.024,0.052,8/19/2020,,,,,,,,,,,,,,,,,,,,
020_X_CnEp_AUS,1,Chamaecrista nictitans,1.174,0.514,8/18/2020,date on below bag is 8/19/2020,,,,,,,,,,,,,,,,,,,
020_X_CnEp_AUS,2,Eutrochium fistulosum,0.625,0.427,8/18/2020,date on below bag is 8/19/2020,,,,,,,,,,,,,,,,,,,
021_X_CnEv_AUS,1,Chamaecrista nictitans,1.547,0.705,8/18/2020,,,,,,,,,,,,,,,,,,,,
021_X_CnEv_AUS,2,Elymus virginicus,0.175,0.604,8/18/2020,,,,,,,,,,,,,,,,,,,,
022_X_CnEv_AUS,1,Chamaecrista nictitans,2.495,0.874,8/20/2020,,,,,,,,,,,,,,,,,,,,
022_X_CnEv_AUS,2,Elymus virginicus,0.219,0.25,8/18/2020,,,,,,,,,,,,,,,,,,,,
023_X_CnEv_AUS,1,Chamaecrista nictitans,0.392,0.095,8/15/2020,,,,,,,,,,,,,,,,,,,,
023_X_CnEv_AUS,2,Elymus virginicus,0.284,0.411,8/15/2020,,,,,,,,,,,,,,,,,,,,
024_X_CnEv_AUS,1,Chamaecrista nictitans,0.477,0.127,8/17/2020,,,,,,,,,,,,,,,,,,,,
024_X_CnEv_AUS,2,Elymus virginicus,0.076,0.336,8/17/2020,,,,,,,,,,,,,,,,,,,,
025_X_CnEv_AUS,1,Chamaecrista nictitans,0.441,0.132,8/15/2020,,,,,,,,,,,,,,,,,,,,
025_X_CnEv_AUS,2,Elymus virginicus,0.276,0.391,8/15/2020,,,,,,,,,,,,,,,,,,,,
026_X_EpEv_AUS,1,Eutrochium fistulosum,,,,dead,,,,,,,,,,,,,,,,,,,
026_X_EpEv_AUS,2,Elymus virginicus,0.311,0.494,8/18/2020,,,,,,,,,,,,,,,,,,,,
027_X_EpEv_AUS,1,Eutrochium fistulosum,0.498,0.322,8/17/2020,,,,,,,,,,,,,,,,,,,,
027_X_EpEv_AUS,2,Elymus virginicus,0.184,0.362,8/17/2020,,,,,,,,,,,,,,,,,,,,
028_X_EpEv_AUS,1,Eutrochium fistulosum,3.646,5.532,8/16/2020,,,,,,,,,,,,,,,,,,,,
028_X_EpEv_AUS,2,Elymus virginicus,0.148,0.3,8/16/2020,,,,,,,,,,,,,,,,,,,,
029_X_EpEv_AUS,1,Eutrochium fistulosum,1.027,0.914,8/20/20,,,,,,,,,,,,,,,,,,,,
029_X_EpEv_AUS,2,Elymus virginicus,0.232,0.348,8/20/2020,,,,,,,,,,,,,,,,,,,,
030_X_EpEv_AUS,1,Eutrochium fistulosum,0.223,0.366,8/18/2020,,,,,,,,,,,,,,,,,,,,
030_X_EpEv_AUS,2,Elymus virginicus,0.192,0.373,8/18/2020,,,,,,,,,,,,,,,,,,,,
031_N_CnCn_AUS,1,Chamaecrista nictitans,0.717,0.256,8/15/2020,,,,,,,,,,,,,,,,,,,,
031_N_CnCn_AUS,2,Chamaecrista nictitans,0.074,0.036,8/15/2020,,,,,,,,,,,,,,,,,,,,
032_N_CnCn_AUS,1,Chamaecrista nictitans,1.22,0.416,08/19/2020,below not in same bag?,,,,,,,,,,,,,,,,,,,
032_N_CnCn_AUS,2,Chamaecrista nictitans,2.257,0.715,8/19/2020,below not in same bag; 167 nodules,,,,,,,,,,,,,,,,,,,
033_N_CnCn_AUS,1,Chamaecrista nictitans,0.839,0.337,08/15/2020,,,,,,,,,,,,,,,,,,,,
033_N_CnCn_AUS,2,Chamaecrista nictitans,0.17,0.025,8/18/2020,,,,,,,,,,,,,,,,,,,,
034_N_CnCn_AUS,1,Chamaecrista nictitans,0.309,0.133,08/19/2020,,,,,,,,,,,,,,,,,,,,
034_N_CnCn_AUS,2,Chamaecrista nictitans,0.495,0.159,8/19/2020,,,,,,,,,,,,,,,,,,,,
035_N_CnCn_AUS,1,Chamaecrista nictitans,0.724,0.242,8/19/2020,,,,,,,,,,,,,,,,,,,,
035_N_CnCn_AUS,2,Chamaecrista nictitans,0.685,0.217,8/18/2020,,,,,,,,,,,,,,,,,,,,
036_N_EpEp_AUS,1,Eutrochium fistulosum,0.312,0.715,8/19/2020,"check abg with plant height, below biomass in separate bag",,,,,,,,,,,,,,,,,,,
036_N_EpEp_AUS,2,Eutrochium fistulosum,,,,,,,,,,,,,,,,,,,,,,,
037_N_EpEp_AUS,1,Eutrochium fistulosum,0.1312,1.362,8/18/2020,,,,,,,,,,,,,,,,,,,,
037_N_EpEp_AUS,2,Eutrochium fistulosum,,,,dead,,,,,,,,,,,,,,,,,,,
038_N_EpEp_AUS,1,Eutrochium fistulosum,3.049,6.335,8/15/2020,,,,,,,,,,,,,,,,,,,,
038_N_EpEp_AUS,2,Eutrochium fistulosum,,,,,,,,,,,,,,,,,,,,,,,
039_N_EpEp_AUS,1,Eutrochium fistulosum,0.157,0.198,08/19/2020,,,,,,,,,,,,,,,,,,,,
039_N_EpEp_AUS,2,Eutrochium fistulosum,0.813,1.366,8/19/2020,below not in same bag,,,,,,,,,,,,,,,,,,,
040_N_EpEp_AUS,1,Eutrochium fistulosum,0.028,0.057,8/18/2020,,,,,,,,,,,,,,,,,,,,
040_N_EpEp_AUS,2,Eutrochium fistulosum,0.781,0.728,8/16/2020,,,,,,,,,,,,,,,,,,,,
041_N_EvEv_AUS,1,Elymus virginicus,0.202,0.842,8/19/2020,below not in same bag?,,,,,,,,,,,,,,,,,,,
041_N_EvEv_AUS,2,Elymus virginicus,0.159,0.747,8/19/2020,,,,,,,,,,,,,,,,,,,,
042_N_EvEv_AUS,1,Elymus virginicus,0.236,0.985,8/19/2020,,,,,,,,,,,,,,,,,,,,
042_N_EvEv_AUS,2,Elymus virginicus,0.161,2.337,8/19/2020,,,,,,,,,,,,,,,,,,,,
043_N_EvEv_AUS,1,Elymus virginicus,0.105,0.196,08/15/2020,,,,,,,,,,,,,,,,,,,,
043_N_EvEv_AUS,2,Elymus virginicus,0.089,0.133,8/15/2020,,,,,,,,,,,,,,,,,,,,
044_N_EvEv_AUS,1,Elymus virginicus,0.254,0.625,8/20/2020,,,,,,,,,,,,,,,,,,,,
044_N_EvEv_AUS,2,Elymus virginicus,0.192,0.372,8/20/2020,,,,,,,,,,,,,,,,,,,,
045_N_EvEv_AUS,1,Elymus virginicus,0.019,0.174,8/16/2020,,,,,,,,,,,,,,,,,,,,
045_N_EvEv_AUS,2,Elymus virginicus,0.096,0.152,8/16/2020,,,,,,,,,,,,,,,,,,,,
046_N_CnEp_AUS,1,Chamaecrista nictitans,,,,dead,,,,,,,,,,,,,,,,,,,
046_N_CnEp_AUS,2,Eutrochium fistulosum,0.417,1.802,8/19/2020,,,,,,,,,,,,,,,,,,,,
047_N_CnEp_AUS,1,Chamaecrista nictitans,0.052,0.052,8/19/2020,,,,,,,,,,,,,,,,,,,,
047_N_CnEp_AUS,2,Eutrochium fistulosum,,,,dead,,,,,,,,,,,,,,,,,,,
048_N_CnEp_AUS,1,Chamaecrista nictitans,0.561,0.227,8/15/2020,,,,,,,,,,,,,,,,,,,,
048_N_CnEp_AUS,2,Eutrochium fistulosum,0.154,0.635,8/15/2020,below not in same bag,,,,,,,,,,,,,,,,,,,
049_N_CnEp_AUS,1,Chamaecrista nictitans,0.235,0.084,8/18/2020,,,,,,,,,,,,,,,,,,,,
049_N_CnEp_AUS,2,Eutrochium fistulosum,0.393,0.467,,,,,,,,,,,,,,,,,,,,,
050_N_CnEp_AUS,1,Chamaecrista nictitans,1.473,0.824,08/18/2020,,,,,,,,,,,,,,,,,,,,
050_N_CnEp_AUS,2,Eutrochium fistulosum,,,,,,,,,,,,,,,,,,,,,,,
051_N_CnEv_AUS,1,Chamaecrista nictitans,0.008,0.002,8/20/2020,,,,,,,,,,,,,,,,,,,,
051_N_CnEv_AUS,2,Elymus virginicus,0.33,0.424,8/20/2020,,,,,,,,,,,,,,,,,,,,
052_N_CnEv_AUS,1,Chamaecrista nictitans,,,,dead,,,,,,,,,,,,,,,,,,,
052_N_CnEv_AUS,2,Elymus virginicus,0.131,0.427,8/18/2020,,,,,,,,,,,,,,,,,,,,
053_N_CnEv_AUS,1,Chamaecrista nictitans,0.498,0.132,8/16/2020,,,,,,,,,,,,,,,,,,,,
053_N_CnEv_AUS,2,Elymus virginicus,0.047,0.264,8/16/2020,,,,,,,,,,,,,,,,,,,,
054_N_CnEv_AUS,1,Chamaecrista nictitans,0.327,0.169,8/19/2020,above in separate bag; 30 nodules,,,,,,,,,,,,,,,,,,,
054_N_CnEv_AUS,2,Elymus virginicus,0.061,,8/27/2020,below not in same bag,,,,,,,,,,,,,,,,,,,
055_N_CnEv_AUS,1,Chamaecrista nictitans,0.193,0.14,8/18/2020,,,,,,,,,,,,,,,,,,,,
055_N_CnEv_AUS,2,Elymus virginicus,0.106,0.345,8/18/2020,,,,,,,,,,,,,,,,,,,,
056_N_EpEv_AUS,1,Eutrochium fistulosum,1.407,0.613,08/19/2020,,,,,,,,,,,,,,,,,,,,
056_N_EpEv_AUS,2,Elymus virginicus,0.16,0.307,8/19/2020,,,,,,,,,,,,,,,,,,,,
057_N_EpEv_AUS,1,Eutrochium fistulosum,0.439,0.664,8/19/2020,,,,,,,,,,,,,,,,,,,,
057_N_EpEv_AUS,2,Elymus virginicus,0.086,0.229,08/19/2020,,,,,,,,,,,,,,,,,,,,
058_N_EpEv_AUS,1,Eutrochium fistulosum,3.176,3.199,8/16/2020,,,,,,,,,,,,,,,,,,,,
058_N_EpEv_AUS,2,Elymus virginicus,0.099,0.246,8/16/2020,,,,,,,,,,,,,,,,,,,,
059_N_EpEv_AUS,1,Eutrochium fistulosum,0.266,0.325,8/16/2020,,,,,,,,,,,,,,,,,,,,
059_N_EpEv_AUS,2,Elymus virginicus,0.207,0.24,8/16/2020,,,,,,,,,,,,,,,,,,,,
060_N_EpEv_AUS,1,Eutrochium fistulosum,,,,,,,,,,,,,,,,,,,,,,,
060_N_EpEv_AUS,2,Elymus virginicus,0.135,0.228,8/18/2020,,,,,,,,,,,,,,,,,,,,
061_X_CnCn_BRE,1,Chamaecrista nictitans,3.364,0.788,8/15/20,,,,,,,,,,,,,,,,,,,,
061_X_CnCn_BRE,2,Chamaecrista nictitans,0.442,0.104,8/15/2020,,,,,,,,,,,,,,,,,,,,
062_X_CnCn_BRE,1,Chamaecrista nictitans,0.986,0.204,8/17/20,,,,,,,,,,,,,,,,,,,,
062_X_CnCn_BRE,2,Chamaecrista nictitans,3.086,0.613,8/17/20,,,,,,,,,,,,,,,,,,,,
063_X_CnCn_BRE,1,Chamaecrista nictitans,0.732,0.087,8/16/20,,,,,,,,,,,,,,,,,,,,
063_X_CnCn_BRE,2,Chamaecrista nictitans,1.958,0.51,8/16/20,,,,,,,,,,,,,,,,,,,,
064_X_CnCn_BRE,1,Chamaecrista nictitans,2.459,0.424,08/16/2020,,,,,,,,,,,,,,,,,,,,
064_X_CnCn_BRE,2,Chamaecrista nictitans,1.809,0.547,8/16/20,,,,,,,,,,,,,,,,,,,,
065_X_CnCn_BRE,1,Chamaecrista nictitans,0.837,0.269,08/17/2020,,,,,,,,,,,,,,,,,,,,
065_X_CnCn_BRE,2,Chamaecrista nictitans,1.132,0.334,08/17/2020,,,,,,,,,,,,,,,,,,,,
066_X_EpEp_BRE,1,Eutrochium fistulosum,0.001,0.001,08/18/2020,,,,,,,,,,,,,,,,,,,,
066_X_EpEp_BRE,2,Eutrochium fistulosum,,,,dead,,,,,,,,,,,,,,,,,,,
067_X_EpEp_BRE,1,Eutrochium fistulosum,1.227,0.754,08/17/2020,,,,,,,,,,,,,,,,,,,,
067_X_EpEp_BRE,2,Eutrochium fistulosum,1.053,0.813,08/17/2020,,,,,,,,,,,,,,,,,,,,
068_X_EpEp_BRE,1,Eutrochium fistulosum,0.234,0.279,08/16/20,,,,,,,,,,,,,,,,,,,,
068_X_EpEp_BRE,2,Eutrochium fistulosum,0.098,0.383,08/16/20,,,,,,,,,,,,,,,,,,,,
069_X_EpEp_BRE,1,Eutrochium fistulosum,0.256,0.238,08/17/20,,,,,,,,,,,,,,,,,,,,
069_X_EpEp_BRE,2,Eutrochium fistulosum,0.243,0.312,08/18/2020,,,,,,,,,,,,,,,,,,,,
070_X_EpEp_BRE,1,Eutrochium fistulosum,,,,dead,,,,,,,,,,,,,,,,,,,
070_X_EpEp_BRE,2,Eutrochium fistulosum,0.548,0.689,08/17/20,,,,,,,,,,,,,,,,,,,,
071_X_EvEv_BRE,1,Elymus virginicus,0.299,0.445,08/15/20,,,,,,,,,,,,,,,,,,,,
071_X_EvEv_BRE,2,Elymus virginicus,0.17,0.238,08/15/2020,,,,,,,,,,,,,,,,,,,,
072_X_EvEv_BRE,1,Elymus virginicus,0.101,0.186,08/18/2020,,,,,,,,,,,,,,,,,,,,
072_X_EvEv_BRE,2,Elymus virginicus,0.251,0.365,08/18/2020,,,,,,,,,,,,,,,,,,,,
073_X_EvEv_BRE,1,Elymus virginicus,0.115,0.109,08/16/2020,,,,,,,,,,,,,,,,,,,,
073_X_EvEv_BRE,2,Elymus virginicus,0.251,0.254,08/16/2020,,,,,,,,,,,,,,,,,,,,
074_X_EvEv_BRE,1,Elymus virginicus,0.156,0.508,08/17/2020,,,,,,,,,,,,,,,,,,,,
074_X_EvEv_BRE,2,Elymus virginicus,0.186,0.301,08/17/2020,,,,,,,,,,,,,,,,,,,,
075_X_EvEv_BRE,1,Elymus virginicus,0.515,0.39,08/17/2020,,,,,,,,,,,,,,,,,,,,
075_X_EvEv_BRE,2,Elymus virginicus,0.319,0.597,08/17/2020,,,,,,,,,,,,,,,,,,,,
076_X_CnEp_BRE,1,Chamaecrista nictitans,1.716,0.34,08/28/2020,,,,,,,,,,,,,,,,,,,,
076_X_CnEp_BRE,2,Eutrochium fistulosum,0.384,0.568,8/18/2020,,,,,,,,,,,,,,,,,,,,
077_X_CnEp_BRE,1,Chamaecrista nictitans,0.508,0.124,8/18/2020,,,,,,,,,,,,,,,,,,,,
077_X_CnEp_BRE,2,Eutrochium fistulosum,0.703,1.065,08/18/2020,,,,,,,,,,,,,,,,,,,,
078_X_CnEp_BRE,1,Chamaecrista nictitans,0.653,0.43,08/16/2020,,,,,,,,,,,,,,,,,,,,
078_X_CnEp_BRE,2,Eutrochium fistulosum,0.583,0.528,08/16/2020,,,,,,,,,,,,,,,,,,,,
079_X_CnEp_BRE,1,Chamaecrista nictitans,0.139,0.037,08/18/2020,,,,,,,,,,,,,,,,,,,,
079_X_CnEp_BRE,2,Eutrochium fistulosum,0.068,1.48,,,,,,,,,,,,,,,,,,,,,
080_X_CnEp_BRE,1,Chamaecrista nictitans,4.557,0.74,8/18/2020,,,,,,,,,,,,,,,,,,,,
080_X_CnEp_BRE,2,Eutrochium fistulosum,,,,dead,,,,,,,,,,,,,,,,,,,
081_X_CnEv_BRE,1,Chamaecrista nictitans,1.295,0.262,8/15/2020,,,,,,,,,,,,,,,,,,,,
081_X_CnEv_BRE,2,Elymus virginicus,0.285,0.454,8/15/2020,,,,,,,,,,,,,,,,,,,,
082_X_CnEv_BRE,1,Chamaecrista nictitans,0.982,0.095,8/15/2020,,,,,,,,,,,,,,,,,,,,
082_X_CnEv_BRE,2,Elymus virginicus,0.116,0.143,8/15,,,,,,,,,,,,,,,,,,,,
083_X_CnEv_BRE,1,Chamaecrista nictitans,1.235,0.281,8/16/2020,,,,,,,,,,,,,,,,,,,,
083_X_CnEv_BRE,2,Elymus virginicus,0.317,0.676,8/16/2020,,,,,,,,,,,,,,,,,,,,
084_X_CnEv_BRE,1,Chamaecrista nictitans,1.203,0.211,08/17/2020,,,,,,,,,,,,,,,,,,,,
084_X_CnEv_BRE,2,Elymus virginicus,0.473,1.122,08/17/2020,,,,,,,,,,,,,,,,,,,,
085_X_CnEv_BRE,1,Chamaecrista nictitans,0.849,0.254,08/17/2020,,,,,,,,,,,,,,,,,,,,
085_X_CnEv_BRE,2,Elymus virginicus,0.466,0.792,08/17/2020,,,,,,,,,,,,,,,,,,,,
086_X_EpEv_BRE,1,Eutrochium fistulosum,,,,dead,,,,,,,,,,,,,,,,,,,
086_X_EpEv_BRE,2,Elymus virginicus,0.414,0.317,08/18/2020,,,,,,,,,,,,,,,,,,,,
087_X_EpEv_BRE,1,Eutrochium fistulosum,1.356,2.409,08/18/2020,,,,,,,,,,,,,,,,,,,,
087_X_EpEv_BRE,2,Elymus virginicus,0.179,0.351,08/18/2020,,,,,,,,,,,,,,,,,,,,
088_X_EpEv_BRE,1,Eutrochium fistulosum,,,,dead,,,,,,,,,,,,,,,,,,,
088_X_EpEv_BRE,2,Elymus virginicus,0.311,0.197,08/16/2020,,,,,,,,,,,,,,,,,,,,
089_X_EpEv_BRE,1,Eutrochium fistulosum,0.928,1.081,08/18/2020,,,,,,,,,,,,,,,,,,,,
